pt_graph landings
9997 173
10087 173
10080 173
9697 173
9589 173
9782 173
9775 173
9681 173
9897 173
9691 173
9935 173
9824 173
9864 173
4026 0
3846 0
3732 0
4731 0
4680 0
5478 0
4150 0
4724 0
4765 0
3845 0
4237 0
3983 0
4585 0
5667 0
4056 0
4702 0
4795 0
3343 0
4217 0
3910 0
4735 0
4706 0
4058 0
4239 0
3532 0
4455 0
4581 0
4110 0
3284 0
3186 0
3540 0
4467 0
4593 0
3371 0
4253 0
3622 0
4127 0
3619 0
3560 0
3966 0
4968 0
4841 0
4462 0
4636 0
3883 0
3765 0
4767 0
4768 0
3624 0
4273 0
3784 0
4576 0
4778 0
3875 0
3896 0
4407 0
3794 0
5065 0
4310 0
3702 0
5084 0
4992 0
3725 0
4954 0
4691 0
4331 0
3728 0
5120 0
3097 0
4586 0
4708 0
3634 0
5139 0
5140 0
4063 0
4066 0
5903 0
5170 0
4616 0
4370 0
5349 0
4629 0
5026 0
5188 0
3667 0
5558 0
4501 0
4091 0
3673 0
3770 0
3325 0
3891 0
3328 0
4011 0
5058 0
3696 0
4020 0
4109 0
5246 0
4412 0
5251 0
4224 0
3924 0
3722 0
4440 0
5266 0
4817 0
5272 0
4052 0
5663 0
5855 0
4349 0
3843 0
4147 0
4855 0
5319 0
3115 0
4606 0
3475 0
5330 0
4868 0
4757 0
5183 0
4882 0
3877 0
5193 0
4766 0
4500 0
5201 0
4909 0
3146 0
5215 0
3239 0
4102 0
4790 0
5415 0
4406 0
4531 0
5980 0
3909 0
5431 0
3917 0
4940 0
4806 0
4951 0
4229 0
4956 0
4967 0
5471 0
4461 0
4241 0
3536 0
5497 0
6029 0
3635 0
4980 0
5507 0
4861 0
5005 0
5516 0
5523 0
3566 0
4491 0
4280 0
5029 0
4172 0
4634 0
4292 0
5037 0
3996 0
4192 0
5391 0
4202 0
4921 0
4206 0
3423 0
5602 0
4309 0
5616 0
3155 0
5082 0
3441 0
5631 0
3920 0
3169 0
4687 0
5637 0
4048 0
4338 0
6012 0
3826 0
5127 0
4843 0
5679 0
4353 0
5684 0
5141 0
4260 0
3750 0
4072 0
5161 0
4879 0
3969 0
4375 0
4376 0
4286 0
3483 0
5749 0
4384 0
5753 0
4388 0
4004 0
4392 0
4774 0
4305 0
4103 0
3510 0
3247 0
5798 0
5799 0
4799 0
5803 0
3807 0
4316 0
3519 0
5820 0
5828 0
4128 0
4454 0
3455 0
