 key  value
2105 131.332
2059 128.805
2104 126.278
2192 123.771
2366 121.44
2522 119.118
2604 116.599
2742 114.076
2661 111.746
2607 109.423
2711 106.968
2787 104.419
2928 101.942
2736 99.627
2860 97.306
3007 94.795
2820 92.462
2987 90.143
3092 87.652
3293 85.34
3298 83.047
3369 80.553
3591 78.247
3415 75.951
3496 73.445
3633 70.04
3790 67.738
3791 65.451
3874 62.937
3840 60.654
3957 58.378
3888 55.849
3973 53.354
3995 50.886
3982 48.365
4124 46.07
4326 43.789
4371 41.28
4518 39.005
4493 36.514
4651 34.23
4720 31.71
4877 29.438
4946 26.946
5085 23.578
5080 21.078
5116 18.574
5301 16.308
5285 13.813
5265 11.555
5109 9.268
5253 6.996
5364 4.504
5464 2.242
10280 248.504
10216 245.069
10171 242.578
10107 240.204
10073 237.691
10007 235.337
9930 232.972
9869 230.454
9764 228.092
9698 225.741
9682 223.271
9614 220.9
9541 218.381
9482 216.018
9431 213.523
9352 211.171
9297 208.687
9240 206.186
9174 203.834
9129 201.466
9046 199.115
8994 196.77
8957 194.434
8891 191.007
8837 188.661
8778 185.219
8733 181.805
8637 179.469
8616 176.982
8506 173.541
8460 170.076
8415 166.654
8396 164.328
8349 161.984
8323 159.641
8305 156.204
8261 153.851
8183 151.336
8147 147.909
8132 144.479
8043 142.142
7907 138.716
7870 137.378
7803 133.961
7835 131.63
7873 129.153
7932 126.64
7816 123.205
7753 120.877
7797 118.552
7828 116.036
7813 113.544
7806 111.23
7742 108.896
7669 106.578
7605 104.099
7708 101.786
7740 99.468
7788 96.948
7800 94.44
7719 91.943
7575 91.222
7612 88.486
7511 85.974
7414 83.473
7477 79.545
7315 77.037
7198 72.038
7244 69.545
7105 67.234
7101 64.74
7022 62.253
6936 58.85
6898 56.57
6785 54.265
6739 51.756
6648 49.264
6587 45.867
6502 43.585
6487 41.311
6438 39.042
6384 36.537
6295 34.244
6329 31.73
6282 29.216
6206 26.953
6043 23.556
5975 21.281
5889 18.771
5814 15.396
5847 12.899
5766 10.393
5672 8.136
5584 5.622
2055 58.425
2230 56.149
2440 53.868
2587 51.376
2729 49.103
2900 46.825
3029 44.538
3138 42.039
3305 39.766
3428 36.414
3546 33.901
3645 31.635
3780 29.366
3927 27.099
4062 24.832
4215 21.457
4247 18.935
4398 16.668
4551 14.411
4681 12.373
4839 10.109
5001 6.744
5222 3.357
10295 242.009
10254 239.522
