pt_graph LE_MET_level6
5499 9
5371 9
5578 9
5408 9
5331 9
5737 9
5604 9
6197 9
6165 9
6270 9
5821 9
5757 9
5676 9
5662 9
7002 9
6892 9
6815 9
6934 9
6757 9
6663 9
6459 9
6398 9
6349 9
6284 9
6093 9
5971 9
6185 9
6063 9
5533 9
5656 9
5642 9
5597 9
6879 9
6846 9
5434 9
5477 9
5525 9
5723 9
5916 9
5923 9
5977 9
6062 9
5850 9
5672 9
5550 9
5726 9
5661 9
5522 9
5605 9
5566 9
5509 9
6691 9
6871 9
6967 9
6544 9
6781 9
6761 9
6618 9
6404 9
6391 9
6387 9
6540 9
6457 9
6503 9
6681 9
6627 9
6468 9
6856 9
6858 9
6462 9
5743 9
5650 9
5731 9
5924 9
6017 9
5416 9
5554 9
5688 9
5781 9
5953 9
5982 9
5978 9
5922 9
5711 9
5768 9
5910 9
6018 9
6756 9
6734 9
6632 9
6707 9
6768 9
6683 9
6483 9
6480 9
6285 9
6557 9
6642 9
6113 9
5834 9
5905 9
6553 9
6570 9
6542 9
6578 9
6727 9
6847 9
6794 9
6520 9
6447 9
6709 9
7035 9
7080 9
5865 9
5787 9
5563 9
6042 9
6238 9
6173 9
6214 9
6269 9
6613 9
6636 9
5926 9
6174 9
5963 9
5687 9
6650 9
6500 9
6310 9
6631 9
6521 9
6501 9
6530 9
5842 9
6152 9
6170 9
6350 9
