pt_graph freq
10119 1
9951 1
9852 1
10003 1
10153 1
10232 1
10142 1
10218 1
10118 1
9693 1
9620 1
9764 1
9931 1
10033 1
10167 1
9904 1
10029 1
10307 1
10266 1
10367 1
10309 1
10198 1
10093 1
10062 1
9914 1
9802 1
9869 1
10116 1
9975 1
10040 1
9723 1
9835 1
9971 1
10276 1
10349 1
10311 1
9748 1
9726 1
9676 1
9806 1
9989 1
10117 1
10313 1
10321 1
10238 1
10058 1
9808 1
10174 1
9818 1
9838 1
10295 1
10182 1
10492 1
9819 1
9888 1
9641 1
9541 1
9896 1
10102 1
9986 1
9813 1
9656 1
10353 1
10242 1
10399 1
9858 1
10164 1
10060 1
9741 1
10275 1
10368 1
9717 1
9766 1
9855 1
9799 1
9666 1
9457 1
9552 1
10254 1
9593 1
9482 1
9572 1
9922 1
