pt_graph shape
4079 0
4079 0
4079 0
4079 1.46
4079 0
4079 0
4079 1.47
4079 0
4079 0
4079 32.37
4079 0
4079 0
4079 0
4079 3.78
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4079 0
4082 0
4082 0
4082 0
4082 0.91
4082 0
4082 0
4082 0.73
4082 0
4082 0
4082 28.34
4082 0
4082 0
4082 0
4082 1.01
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4082 0
4121 0
4121 0
4121 0
4121 1.3
4121 0
4121 0
4121 0.91
4121 0
4121 0
4121 3.82
4121 0
4121 0
4121 0
4121 3.13
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4121 0
4207 0
4207 0
4207 0
4207 1.21
4207 0
4207 0
4207 1.16
4207 0
4207 0
4207 10.79
4207 0
4207 0
4207 0
4207 6.74
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4207 0
4281 0
4281 0
4281 0
4281 0.72
4281 0
4281 0
4281 0.74
4281 0
4281 0
4281 50.86
4281 0
4281 0
4281 0
4281 9.77
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4281 0
4337 0
4337 0
4337 0
4337 1.46
4337 0
4337 0
4337 0.7
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 27.47
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4337 0
4343 0
4343 0
4343 0
4343 0.73
4343 0
4343 0
4343 0.74
4343 0
4343 0
4343 41.54
4343 0
4343 0
4343 0
4343 23.61
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4343 0
4436 0
4436 0
4436 0
4436 1.46
4436 0
4436 0
4436 1.46
4436 0
4436 0
4436 36.01
4436 0
4436 0
4436 0
4436 1.63
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4436 0
4445 0
4445 0
4445 0
4445 1.11
4445 0
4445 0
4445 1.02
4445 0
4445 0
4445 13.41
4445 0
4445 0
4445 0
4445 7.99
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4445 0
4473 0
4473 0
4473 0
4473 1.46
4473 0
4473 0
4473 0.92
4473 0
4473 0
4473 45.78
4473 0
4473 0
4473 0
4473 6.15
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4473 0
4869 0
4869 46.49
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4869 0
4904 0
4904 73.73
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 0
4904 32.27
4904 0
4904 0
4904 0
4904 0
4904 0
4919 0
4919 47.32
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 0
4919 32.27
4919 0
4919 0
4919 0
4919 0
4919 0
5008 0
5008 40.99
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5008 0
5047 0
5047 63.03
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 0
5047 52.05
5047 0
5047 0
5047 0
5047 0
5047 0
5066 0
5066 34.03
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5066 0
5123 0
5123 45.98
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 0
5123 32.27
5123 0
5123 0
5123 0
5123 0
5123 0
5177 0
5177 34.03
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
5177 0
