pt_graph freq
8926 1
8897 1
9056 1
9110 1
9134 1
8983 0.3897
8962 1
8780 1
8840 1
8963 0.3667
8791 1
8653 0.2564
8594 1
8487 1
8369 1
8630 1
8796 0.1616
9432 1
9636 1
9444 1
9341 1
8872 1
8954 1
8902 1
9059 1
8963 0.6333
8893 1
9144 1
8904 1
8855 1
8786 1
8796 0.3232
8983 0.6103
8857 1
8895 1
8806 1
8690 1
8804 1
8948 1
8909 1
8715 1
8880 1
9013 1
8653 0.7436
8738 1
8871 1
8923 1
8998 1
8796 0.5152
10897 1
10926 1
10955 1
10967 1
10977 1
11012 1
11004 1
10978 1
11003 1
11008 1
10902 1
10907 1
10970 1
10986 1
10988 1
10993 1
10953 1
10959 1
10930 1
10962 1
