pt_graph LE_MET_level6
3343 8
4260 8
4598 8
4778 8
5161 8
5670 8
5215 8
4525 8
5037 8
5391 8
5325 8
8543 8
8604 8
8773 8
8708 8
8466 8
8346 8
8467 8
8432 8
8517 8
8367 8
8486 8
8681 8
8883 8
8509 8
8383 8
4239 8
4011 8
7741 13
8571 8
8425 8
8929 8
8984 8
8955 8
8909 8
8836 8
8640 8
8736 8
8847 8
8876 8
9061 8
8835 8
8824 8
8715 8
8536 8
8704 8
8858 8
8774 8
8729 8
8646 8
8482 8
4790 8
3549 8
4081 8
3616 8
3239 8
4038 8
4229 8
4278 8
3891 8
4127 8
4593 8
8376 8
8513 8
8564 8
8686 8
8518 8
8356 8
8314 8
8617 8
8699 8
8575 8
8418 8
8364 8
8312 8
8448 8
8491 8
8590 8
8429 8
8351 8
4102 8
4708 8
5046 8
4685 8
5024 8
4664 8
4855 8
5251 8
5558 8
5188 8
4865 8
4936 8
5051 8
4576 8
4394 8
4581 8
4861 8
4846 8
4766 8
4559 8
4273 8
4251 8
4370 8
4508 8
4795 8
5141 8
4735 8
4606 8
5127 8
5266 8
4691 8
4586 8
4305 8
4764 8
5082 8
4650 8
4349 8
4492 8
5058 8
4767 8
4461 8
4879 8
4585 8
4388 8
4378 8
4954 8
5260 8
4532 8
4706 8
5235 8
5461 8
5613 8
4907 8
4126 8
4161 8
4302 8
4501 8
3881 8
5500 8
4467 8
5869 8
5886 8
5140 8
4454 8
4882 8
4940 8
4817 8
4731 8
4909 8
4992 8
4791 8
4923 8
4868 8
4462 8
4663 8
4724 8
4402 8
4056 8
3634 8
3969 8
3371 8
4634 8
4214 8
4680 8
4253 8
4636 8
4772 8
4489 8
4757 8
4799 8
4530 8
10962 8
10993 8
10953 8
10988 8
10959 8
10918 8
10942 8
10968 8
10978 8
11017 8
11011 8
10986 8
11008 8
10930 8
10899 8
10901 8
10961 8
10929 8
