pt_graph scale
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1137 110
1137 0
1137 0
1137 874
1137 0
1137 0
1137 0
1137 0
1137 0
1137 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 953
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
1692 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 1599
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
3169 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 511
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4813 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 1500
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4843 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 802
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4911 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 1758
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
4968 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 267
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5064 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 1001
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5132 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 26
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
5363 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 71
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6421 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 380
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
6555 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 562
8635 0
8635 0
8635 0
8635 1
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 1
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8635 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 141
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8821 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 571
8875 0
8875 0
8875 0
8875 1
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 1
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8875 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 213
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8969 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 571
8988 0
8988 0
8988 0
8988 1
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 1
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
8988 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 457
9070 0
9070 0
9070 0
9070 2
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 2
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9070 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 238
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9120 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 220
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9249 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 143
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9304 0
9375 0
9375 0
9375 0
9375 0
9375 0
9375 0
9375 0
9375 0
9375 0
9375 0
9375 1634
9375 0
9375 0
9375 0
9375 62
9375 0
9375 0
9375 0
9375 0
9375 0
9375 0
9375 377
9375 0
9375 0
9375 37
9375 0
9375 0
9375 0
9375 0
9375 0
9375 0
9673 0
9673 0
9673 0
9673 0
9673 0
9673 0
9673 0
9673 0
9673 0
9673 0
9673 1346
9673 0
9673 0
9673 0
9673 2
9673 0
9673 0
9673 0
9673 0
9673 0
9673 0
9673 191
9673 0
9673 0
9673 1
9673 0
9673 0
9673 0
9673 0
9673 0
9673 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 408
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 22
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
9740 0
