pt_graph freq
9572 1
9481 1
9316 1
9184 1
9090 1
8864 1
8960 1
10607 1
10603 1
10327 1
9748 1
9593 1
9482 1
9361 1
9237 1
9129 1
9298 1
9784 1
9757 1
9626 1
9643 1
9904 1
9888 1
10232 1
10266 1
10309 1
10151 1
10119 1
9979 1
9813 1
9666 1
9614 1
9456 1
9365 1
9192 1
9139 1
9293 1
9174 1
9559 1
9431 1
9099 1
9008 1
8878 1
8922 1
9012 1
8829 1
8890 1
9053 1
8945 1
8807 1
8689 1
8629 1
8724 1
8809 1
8997 1
9352 1
9457 1
10330 1
10609 1
10873 1
10867 1
10881 1
10868 1
9723 1
9541 1
9570 1
9799 1
9766 1
9950 1
10062 1
10198 1
10276 1
10242 1
10116 1
10093 1
10307 1
10254 1
10112 1
9844 1
9858 1
9735 1
9660 1
9670 1
9445 1
9372 1
9295 1
8789 1
9006 1
9091 1
9297 1
9331 1
9215 1
9552 1
9874 1
9403 1
9201 1
9102 1
9434 1
9207 1
10889 1
10907 1
10959 1
10953 1
10930 1
10918 1
10899 1
10945 1
10940 1
10915 1
10913 1
10878 1
10902 1
