pt_graph LE_MET_level6
590 8
576 8
551 8
383 8
340 8
318 8
284 8
259 8
279 8
369 8
10976 8
10986 8
10966 8
10944 8
10972 8
10988 8
10953 8
10948 8
10941 8
10916 8
10934 8
10940 8
10942 8
10935 8
10993 8
11008 8
8584 8
8492 8
8458 8
8489 8
8600 8
8389 8
8350 8
8382 8
8358 8
8368 8
8370 8
8362 8
8328 8
8395 8
8361 8
11000 8
11004 8
11010 8
11122 8
12086 8
11143 8
11204 8
11193 8
10945 8
11242 8
11381 8
11363 8
11437 8
11507 8
11635 8
11060 8
11068 8
11056 8
11051 8
11045 8
10961 8
10968 8
10959 8
10930 8
10962 8
