VE_REF beta.se.VE_REF
DEN27 0
DEN27 0.12694
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN27 0.13201
DEN27 0
DEN27 0.13719
DEN27 0.13676
DEN27 0.31357
DEN27 0
DEN27 0.21085
DEN27 0
DEN27 0
DEN27 0.59161
DEN27 0
DEN27 0
DEN27 0.32239
DEN27 0.16515
DEN27 0.17639
DEN27 0.18539
DEN27 0.20941
DEN27 0.13972
DEN27 0.14322
DEN27 0.40899
DEN27 0
DEN27 0.18184
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0.15208
DEN127 0.07805
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0.15726
DEN127 0
DEN127 0
DEN127 0.13859
DEN127 0
DEN127 0
DEN127 0.74364
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0.32802
DEN129 0
DEN129 0.17853
DEN129 0.08285
DEN129 0.53051
DEN129 0
DEN129 0.22663
DEN129 0
DEN129 0
DEN129 0.13868
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0.7899
DEN129 0.25783
DEN129 0.44084
DEN129 0
DEN129 0.27706
DEN129 0
DEN129 0
DEN129 0.30109
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN130 0
DEN130 0.12596
DEN130 104.51115
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0.18351
DEN130 0
DEN130 0.1406
DEN130 0.0819
DEN130 0.3453
DEN130 0
DEN130 0.20767
DEN130 0
DEN130 0
DEN130 0
DEN130 0.29439
DEN130 0
DEN130 0
DEN130 0.36676
DEN130 0
DEN130 0.457
DEN130 0
DEN130 0.31259
DEN130 0.17163
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 1.25507
GER40 0
GER40 0.09033
GER40 0.13299
GER40 0
GER40 0
GER40 0.29624
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0.09179
GER40 0
GER40 0
GER40 0.10468
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0.13955
GER40 0
GER40 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 1.11927
GER41 0
GER41 0.06345
GER41 0.09982
GER41 0
GER41 0
GER41 0.14864
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0.06459
GER41 0
GER41 0.66886
GER41 0.0741
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
GER41 0
DEN2 0
DEN2 0.31196
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0.30785
DEN2 0.13596
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0.56382
DEN2 0
DEN2 0
DEN2 0
DEN2 0.74516
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN5 0
DEN5 0.15408
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0.12948
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0.1172
DEN5 0
DEN5 0.15207
DEN5 0
DEN5 1.05718
DEN5 0.15156
DEN5 0.37195
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN12 0
DEN12 0.0714
DEN12 0
DEN12 0
DEN12 0
DEN12 0
DEN12 0
DEN12 0
DEN12 0
DEN12 0.12044
DEN12 0.06937
DEN12 0
DEN12 0
DEN12 0
DEN12 0.11992
DEN12 0
DEN12 0
DEN12 0
DEN12 0
DEN12 0
DEN12 0
DEN12 0.06671
DEN12 0.32555
DEN12 0.12231
DEN12 0
DEN12 0.10237
DEN12 0.08063
DEN12 0.26196
DEN12 0
DEN12 0.21439
DEN12 0
DEN12 0
DEN12 0
DEN12 0
DEN16 0
DEN16 0.15738
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0.10386
DEN16 0.15421
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0.09398
DEN16 0
DEN16 0.13274
DEN16 0
DEN16 0.3572
DEN16 0.12406
DEN16 0.2441
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN16 0
DEN17 0
DEN17 0.09246
DEN17 0
DEN17 0
DEN17 0
DEN17 0
DEN17 0
DEN17 0
DEN17 0
DEN17 0.28521
DEN17 0.11139
DEN17 0
DEN17 0
DEN17 0
DEN17 0.20746
DEN17 0
DEN17 0
DEN17 0
DEN17 0
DEN17 0
DEN17 0
DEN17 0.14778
DEN17 0
DEN17 0.16028
DEN17 0
DEN17 0.19392
DEN17 0.16517
DEN17 0.63996
DEN17 0
DEN17 0.20417
DEN17 0
DEN17 0
DEN17 0
DEN17 0
DEN21 0
DEN21 0.07365
DEN21 0
DEN21 0.17739
DEN21 0
DEN21 0
DEN21 0
DEN21 0.20217
DEN21 0
DEN21 0.08611
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0.55542
DEN21 0
DEN21 0
DEN21 0.10901
DEN21 0
DEN21 0.79455
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN21 0
DEN23 0
DEN23 0.10067
DEN23 0
DEN23 0.14214
DEN23 0
DEN23 0
DEN23 0
DEN23 0.14443
DEN23 0
DEN23 0.54109
DEN23 0.13215
DEN23 0
DEN23 0
DEN23 0
DEN23 0.31819
DEN23 0
DEN23 0
DEN23 0
DEN23 0
DEN23 0
DEN23 0
DEN23 0.14193
DEN23 0.44624
DEN23 0.28011
DEN23 0
DEN23 0.20199
DEN23 0.20452
DEN23 0
DEN23 0
DEN23 0.5976
DEN23 0
DEN23 0
DEN23 0
DEN23 0
DEN26 0
DEN26 0.16897
DEN26 104.48416
DEN26 0.33015
DEN26 0
DEN26 0
DEN26 0.30009
DEN26 0.9348
DEN26 0
DEN26 0.51847
DEN26 0.10149
DEN26 0
DEN26 0
DEN26 0.32509
DEN26 0.38993
DEN26 0
DEN26 0
DEN26 0
DEN26 0.28166
DEN26 0
DEN26 0
DEN26 0.08927
DEN26 0.96066
DEN26 0.14305
DEN26 0
DEN26 0.28633
DEN26 0.119
DEN26 0
DEN26 0.24357
DEN26 0.64222
DEN26 0
DEN26 0
DEN26 0
DEN26 0
DEN28 0
DEN28 0.0686
DEN28 0
DEN28 0
DEN28 0
DEN28 0
DEN28 0
DEN28 0
DEN28 0
DEN28 0.10803
DEN28 0.14492
DEN28 0
DEN28 0
DEN28 0
DEN28 0.74169
DEN28 0
DEN28 0
DEN28 0
DEN28 0
DEN28 0
DEN28 0
DEN28 0.12463
DEN28 0.4222
DEN28 0.23141
DEN28 0
DEN28 0.10673
DEN28 0.16706
DEN28 0.24294
DEN28 0
DEN28 0.31629
DEN28 0
DEN28 0
DEN28 0
DEN28 0
DEN37 0
DEN37 0.16331
DEN37 0
DEN37 0
DEN37 0
DEN37 0
DEN37 0.24872
DEN37 0.49673
DEN37 0
DEN37 0.26871
DEN37 0.19994
DEN37 0
DEN37 0
DEN37 0
DEN37 0.4936
DEN37 0
DEN37 0
DEN37 0
DEN37 0
DEN37 0
DEN37 0
DEN37 0.23622
DEN37 0
DEN37 0.28867
DEN37 0
DEN37 0.28518
DEN37 0.32825
DEN37 0
DEN37 0.73614
DEN37 0
DEN37 0
DEN37 0
DEN37 0
DEN37 0
DEN41 0
DEN41 0.14824
DEN41 0
DEN41 0
DEN41 0
DEN41 0
DEN41 0
DEN41 0
DEN41 0.1941
DEN41 0
DEN41 0.10584
DEN41 0.1223
DEN41 0.34754
DEN41 0
DEN41 0.56845
DEN41 0
DEN41 0
DEN41 0
DEN41 0
DEN41 0
DEN41 0
DEN41 0.09257
DEN41 0.55432
DEN41 0.12413
DEN41 0
DEN41 0.20248
DEN41 0.12509
DEN41 0
DEN41 0
DEN41 0.18495
DEN41 0
DEN41 0
DEN41 0
DEN41 0
DEN45 0
DEN45 0.11336
DEN45 104.48833
DEN45 0.21019
DEN45 0.61684
DEN45 0
DEN45 1.27099
DEN45 0.2123
DEN45 0
DEN45 0.20746
DEN45 0.09834
DEN45 0.39826
DEN45 0
DEN45 0
DEN45 0.31078
DEN45 0
DEN45 0
DEN45 0
DEN45 0.28129
DEN45 0
DEN45 0
DEN45 0.10105
DEN45 0.48095
DEN45 0.1383
DEN45 0
DEN45 0.14652
DEN45 0.12723
DEN45 0
DEN45 0.32592
DEN45 0.29955
DEN45 0
DEN45 0
DEN45 0
DEN45 0
DEN46 0
DEN46 0.10402
DEN46 0
DEN46 0.44764
DEN46 0
DEN46 0
DEN46 0
DEN46 0.44207
DEN46 0
DEN46 0.3997
DEN46 0.13754
DEN46 0
DEN46 0
DEN46 0
DEN46 0.47698
DEN46 0
DEN46 0
DEN46 0
DEN46 0
DEN46 0
DEN46 0
DEN46 0.13234
DEN46 0
DEN46 0.18639
DEN46 0
DEN46 0.18335
DEN46 0.16313
DEN46 0.70763
DEN46 0.29374
DEN46 0
DEN46 0
DEN46 0
DEN46 0
DEN46 0
DEN47 0
DEN47 0.12717
DEN47 0
DEN47 0
DEN47 0
DEN47 0
DEN47 0
DEN47 0
DEN47 0
DEN47 0
DEN47 0.11695
DEN47 0
DEN47 0
DEN47 0
DEN47 0.37967
DEN47 0
DEN47 0
DEN47 0
DEN47 0
DEN47 0
DEN47 0
DEN47 0.19508
DEN47 0
DEN47 0.23631
DEN47 0
DEN47 0.4526
DEN47 0.37517
DEN47 0.42041
DEN47 0
DEN47 0.3248
DEN47 0
DEN47 0
DEN47 0
DEN47 0
DEN50 0
DEN50 0.16422
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0.42299
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0.67868
DEN50 0
DEN50 0
DEN50 0.23579
DEN50 1.06732
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN50 0
DEN56 0
DEN56 0.11819
DEN56 0
DEN56 0
DEN56 0
DEN56 0
DEN56 0
DEN56 0
DEN56 0
DEN56 0.15167
DEN56 0.07041
DEN56 0
DEN56 0
DEN56 0
DEN56 0.49125
DEN56 0
DEN56 0
DEN56 0
DEN56 0
DEN56 0
DEN56 0
DEN56 0.06729
DEN56 0
DEN56 0.08581
DEN56 0
DEN56 0.18024
DEN56 0.08429
DEN56 0
DEN56 0
DEN56 0.25541
DEN56 0
DEN56 0
DEN56 0
DEN56 0
DEN57 0
DEN57 0.08071
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0.414
DEN57 0.08918
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0.96062
DEN57 0
DEN57 0
DEN57 0.12807
DEN57 0
DEN57 0.15683
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN57 0
DEN59 0
DEN59 0.07787
DEN59 104.47888
DEN59 1.01055
DEN59 0
DEN59 0
DEN59 0.55734
DEN59 0
DEN59 0.60328
DEN59 0.09347
DEN59 0
DEN59 0
DEN59 0
DEN59 0
DEN59 0
DEN59 0
DEN59 0
DEN59 0
DEN59 0.32747
DEN59 0
DEN59 0
DEN59 0
DEN59 0.67782
DEN59 0
DEN59 0
DEN59 0.17951
DEN59 0
DEN59 0.15807
DEN59 0
DEN59 0
DEN59 0
DEN59 0
DEN59 0
DEN59 0
DEN62 0
DEN62 0.07759
DEN62 0
DEN62 0.29389
DEN62 0
DEN62 0
DEN62 0
DEN62 0
DEN62 0
DEN62 0
DEN62 0.28435
DEN62 0
DEN62 0
DEN62 0
DEN62 0.40293
DEN62 0
DEN62 0
DEN62 0
DEN62 0
DEN62 0
DEN62 0
DEN62 0.3011
DEN62 0.55614
DEN62 0
DEN62 0
DEN62 0.11317
DEN62 0.35094
DEN62 0.41298
DEN62 0
DEN62 0
DEN62 0
DEN62 0
DEN62 0
DEN62 0
DEN63 0
DEN63 0.07357
DEN63 0
DEN63 0
DEN63 0
DEN63 0
DEN63 0
DEN63 0
DEN63 0.15643
DEN63 0.1051
DEN63 0.08059
DEN63 0
DEN63 0.34916
DEN63 0
DEN63 0.10855
DEN63 0
DEN63 0
DEN63 0
DEN63 0
DEN63 0
DEN63 0
DEN63 0.08048
DEN63 0.26609
DEN63 0.2278
DEN63 0
DEN63 0.09736
DEN63 0.088
DEN63 0.15628
DEN63 0
DEN63 0.48732
DEN63 0
DEN63 0
DEN63 0
DEN63 0
DEN64 0
DEN64 0.22591
DEN64 0
DEN64 0.24986
DEN64 0
DEN64 0
DEN64 0.17528
DEN64 0
DEN64 0
DEN64 0
DEN64 0.22617
DEN64 0
DEN64 0
DEN64 0.30657
DEN64 0
DEN64 0
DEN64 0
DEN64 0
DEN64 0
DEN64 0
DEN64 0
DEN64 0.18682
DEN64 0
DEN64 0.25134
DEN64 0
DEN64 0.32083
DEN64 0.25681
DEN64 0.46135
DEN64 0.26956
DEN64 0
DEN64 0
DEN64 0
DEN64 0
DEN64 0
DEN69 0
DEN69 0.07896
DEN69 0
DEN69 0
DEN69 0
DEN69 0
DEN69 0
DEN69 0
DEN69 0
DEN69 0.08639
DEN69 0.12436
DEN69 0.12389
DEN69 0
DEN69 0
DEN69 0.31897
DEN69 0
DEN69 0
DEN69 0
DEN69 0
DEN69 0
DEN69 0
DEN69 0.10976
DEN69 0.31145
DEN69 0.14404
DEN69 0
DEN69 0.10283
DEN69 0.11678
DEN69 0.39243
DEN69 0
DEN69 0.42418
DEN69 0
DEN69 0
DEN69 0
DEN69 0
DEN70 0
DEN70 0.09627
DEN70 104.47685
DEN70 0.18602
DEN70 0
DEN70 0
DEN70 1.20364
DEN70 0.21757
DEN70 1.47726
DEN70 0.1741
DEN70 0.95094
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0.90688
DEN70 0.86828
DEN70 1.27339
DEN70 0
DEN70 0.1481
DEN70 1.01939
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN70 0
DEN73 0
DEN73 0.49347
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN73 0
DEN79 0
DEN79 0.0644
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN79 0.13315
DEN79 0.15331
DEN79 0
DEN79 0
DEN79 0
DEN79 0.24034
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN79 0.19522
DEN79 0
DEN79 1.14359
DEN79 0
DEN79 0.09418
DEN79 0.18069
DEN79 0.14422
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN79 0
DEN81 0
DEN81 0.14233
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0.42009
DEN81 0.1436
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN81 0.1226
DEN81 0.90059
DEN81 0.18275
DEN81 0
DEN81 0.55134
DEN81 0.16592
DEN81 0.2809
DEN81 0
DEN81 0.37589
DEN81 0
DEN81 0
DEN81 0
DEN81 0
DEN85 0
DEN85 0.09984
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0.09687
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0.09232
DEN85 0
DEN85 0.11573
DEN85 0
DEN85 0
DEN85 0.12571
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN85 0
DEN98 0
DEN98 0.07413
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0.5277
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0.96176
DEN98 0
DEN98 0
DEN98 0.20615
DEN98 0
DEN98 0.22559
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN98 0
DEN101 0
DEN101 0.16351
DEN101 104.48781
DEN101 0.53867
DEN101 0
DEN101 0
DEN101 0.94899
DEN101 0
DEN101 0.25452
DEN101 0
DEN101 0.12619
DEN101 0.12387
DEN101 0.4828
DEN101 0
DEN101 0.20498
DEN101 0
DEN101 0
DEN101 0
DEN101 0.18039
DEN101 0
DEN101 0
DEN101 0
DEN101 0.32527
DEN101 0.30755
DEN101 0
DEN101 0.21204
DEN101 0
DEN101 0.32224
DEN101 0
DEN101 0.55229
DEN101 0
DEN101 0
DEN101 0
DEN101 0
DEN106 0
DEN106 0.09296
DEN106 0
DEN106 0.36675
DEN106 0.26057
DEN106 0
DEN106 0
DEN106 0.34792
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0.96074
DEN106 0
DEN106 0
DEN106 0.16085
DEN106 0
DEN106 0.30526
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN106 0
DEN108 0
DEN108 0.10297
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0.15152
DEN108 0.12968
DEN108 0
DEN108 0
DEN108 0.32922
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0.20402
DEN108 0
DEN108 0
DEN108 0.11251
DEN108 0
DEN108 0.20167
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN108 0
DEN109 0
DEN109 0.12375
DEN109 0
DEN109 0
DEN109 0
DEN109 0
DEN109 0
DEN109 0
DEN109 0.19502
DEN109 0.46151
DEN109 0.10582
DEN109 0.12716
DEN109 0.36604
DEN109 0
DEN109 0.67381
DEN109 0
DEN109 0
DEN109 0
DEN109 0
DEN109 0
DEN109 0
DEN109 0.0919
DEN109 0.67813
DEN109 0.12088
DEN109 0
DEN109 0.21546
DEN109 0.12414
DEN109 0
DEN109 0
DEN109 0.26117
